distance,from,to
0.1483818401652658,1,2
0.04839262045616221,1,3
0.24312167377815097,1,4
0.7195238265584307,1,5
0.0024288838629134,1,6
0.1483818401652658,2,1
0.09998921970910357,2,3
0.39150351394341676,2,4
0.8679056667236965,2,5
0.1459529563023524,2,6
0.04839262045616221,3,1
0.09998921970910357,3,2
0.2915142942343132,3,4
0.7679164470145929,3,5
0.04596373659324881,3,6
0.24312167377815097,4,1
0.39150351394341676,4,2
0.2915142942343132,4,3
0.47640215278027975,4,5
0.24555055764106437,4,6
0.7195238265584307,5,1
0.8679056667236965,5,2
0.7679164470145929,5,3
0.47640215278027975,5,4
0.7219527104213441,5,6
0.0024288838629134,6,1
0.1459529563023524,6,2
0.04596373659324881,6,3
0.24555055764106437,6,4
0.7219527104213441,6,5
